Lattices initiated in 0.27 seconds
Specimen build in 0.12 seconds
         231495 function calls (230204 primitive calls) in 0.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      5/2    0.000    0.000    0.037    0.018 <frozen importlib._bootstrap>:1167(_find_and_load)
       28    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
       19    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        9    0.000    0.000    0.000    0.000 quantitative_scale.py:44(process_kwargs)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
       17    0.000    0.000    0.000    0.000 _parser.py:265(getuntil)
      5/2    0.000    0.000    0.037    0.018 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      293    0.000    0.000    0.000    0.000 variable.py:150(gtype)
        1    0.000    0.000    0.060    0.060 figure.py:11(__init__)
       38    0.000    0.000    0.000    0.000 _parser.py:444(_uniq)
        1    0.000    0.000    0.000    0.000 panzoom.py:166(on_attach)
        1    0.000    0.000    0.001    0.001 argparse.py:1742(__init__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        4    0.000    0.000    0.000    0.000 __init__.py:1561(findCaller)
      343    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      118    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       18    0.000    0.000    0.000    0.000 argparse.py:1485(_add_action)
       15    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        2    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       28    0.000    0.000    0.000    0.000 shader.py:341(<listcomp>)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       28    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       53    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
        1    0.000    0.000    0.000    0.000 argparse.py:1918(_parse_known_args)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       37    0.000    0.000    0.000    0.000 parser.py:94(<listcomp>)
       24    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
      213    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       97    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.000    0.000 argparse.py:1880(parse_known_args)
       37    0.000    0.000    0.002    0.000 parser.py:163(get_attributes)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       50    0.000    0.000    0.000    0.000 <frozen os>:755(encode)
       47    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
       15    0.000    0.000    0.001    0.000 parser.py:72(preprocess)
       34    0.000    0.000    0.001    0.000 __init__.py:173(search)
        9    0.000    0.000    0.002    0.000 transform.py:40(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:1738(_execute_child)
