Lattices initiated in 0.26 seconds
Specimen build in 0.11 seconds
         1405761 function calls (1404470 primitive calls) in 6.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.000    0.000 argparse.py:173(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:805(__init__)
       40    0.000    0.000    0.000    0.000 _parser.py:367(_escape)
       47    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
       28    0.000    0.000    0.040    0.001 program.py:498(all_attributes)
       62    0.000    0.000    0.001    0.000 transform.py:53(__setitem__)
      239    0.000    0.000    0.000    0.000 _parser.py:158(__len__)
        1    0.000    0.000    0.059    0.059 __init__.py:139(__new__)
    35/27    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        1    0.000    0.000    0.036    0.036 backend_glfw_deprecated.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        1    0.000    0.000    0.005    0.005 axes.py:31(__init__)
       15    0.000    0.000    0.000    0.000 parser.py:131(get_hooks)
       72    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:467(find)
       24    0.000    0.000    0.001    0.000 parser.py:39(merge_includes)
       27    0.000    0.000    0.000    0.000 variable.py:204(__init__)
        9    0.000    0.000    0.002    0.000 parser.py:199(parse)
       18    0.000    0.000    0.000    0.000 argparse.py:1565(_get_optional_kwargs)
        2    0.000    0.000    0.037    0.019 __init__.py:49(use)
       17    0.000    0.000    0.008    0.000 glob.py:60(_iglob)
      617    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       50    0.000    0.000    0.000    0.000 <frozen os>:673(__getitem__)
        3    0.000    0.000    0.001    0.000 program.py:48(__init__)
        1    0.000    0.000    0.008    0.008 glfw.py:47(_find_library_candidates)
      153    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
      166    0.000    0.000    0.000    0.000 _parser.py:79(groups)
       51    0.000    0.000    0.000    0.000 __init__.py:386(__getattr__)
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      5/2    0.000    0.000    0.036    0.018 <frozen importlib._bootstrap>:1167(_find_and_load)
        9    0.000    0.000    0.000    0.000 quantitative_scale.py:44(process_kwargs)
      6/3    0.000    0.000    0.000    0.000 <frozen posixpath>:420(_joinrealpath)
       18    0.000    0.000    0.000    0.000 argparse.py:606(_format_args)
       65    0.000    0.000    0.001    0.000 parser.py:160(get_uniforms)
       38    0.000    0.000    0.000    0.000 _parser.py:307(_class_escape)
        1    0.000    0.000    0.007    0.007 glfw.py:99(_glfw_get_version)
       28    0.000    0.000    0.001    0.000 shader.py:372(code)
       19    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
       12    0.000    0.000    0.000    0.000 quantitative_scale.py:126(on_attach)
       28    0.000    0.000    0.000    0.000 _parser.py:222(__init__)
      5/2    0.000    0.000    0.036    0.018 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 panzoom.py:166(on_attach)
        1    0.000    0.000    0.015    0.015 glfw.py:79(_load_library)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      293    0.000    0.000    0.000    0.000 variable.py:150(gtype)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
